"W 150 x 13,0; 13,0; 148; 100; 4,3; 4,9; 138; 118; 16,6; 635; 85,8; 6,18; 96,4; 82; 16,4; 2,22; 25,5; 2,60; 1,72; 10,20; 27,49; 4.181; 0,67; W 6 x 8,5"
"W 150 x 18,0; 18,0; 153; 102; 5,8; 7,1; 139; 119; 23,4; 939; 122,8; 6,34; 139,4; 126; 24,7; 2,32; 38,5; 2,69; 4,34; 7,18; 20,48; 6.683; 0,69; W 6 x 12"
"W 150 x 22,5 (H); 22,5; 152; 152; 5,8; 6,6; 139; 119; 29,0; 1229; 161,7; 6,51; 179,6; 387; 50,9; 3,65; 77,9; 4,10; 4,75; 11,52; 20,48; 20.417; 0,88; W 6 x 15"
"W 150 x 24,0; 24,0; 160; 102; 6,6; 10,3; 139; 115; 31,5; 1384; 173,0; 6,63; 197,6; 183; 35,9; 2,41; 55,8; 2,73; 11,08; 4,95; 17,48; 10.206; 0,69; W 6 x 16"
"W 150 x 29,8 (H); 29,8; 157; 153; 6,6; 9,3; 138; 118; 38,5; 1739; 221,5; 6,72; 247,5; 556; 72,6; 3,80; 110,8; 4,18; 10,95; 8,23; 17,94; 30.277; 0,90; W 6 x 20"
"W 150 x 37,1 (H); 37,1; 162; 154; 8,1; 11,6; 139; 119; 47,8; 2244; 277,0; 6,85; 313,5; 707; 91,8; 3,84; 140,4; 4,22; 20,58; 6,64; 14,67; 39.930; 0,91; W 6 x 25"
"W 200 x 15,0; 15,0; 200; 100; 4,3; 5,2; 190; 170; 19,4; 1305; 130,5; 8,20; 147,9; 87; 17,4; 2,12; 27,3; 2,55; 2,05; 9,62; 39,44; 8.222; 0,77; W 8 x 10"
"W 200 x 19,3; 19,3; 203; 102; 5,8; 6,5; 190; 170; 25,1; 1686; 166,1; 8,19; 190,6; 116; 22,7; 2,14; 35,9; 2,59; 4,02; 7,85; 29,31; 11.098; 0,79; W 8 x 13"
"W 200 x 22,5; 22,5; 206; 102; 6,2; 8,0; 190; 170; 29,0; 2029; 197,0; 8,37; 225,5; 142; 27,9; 2,22; 43,9; 2,63; 6,18; 6,38; 27,42; 13.868; 0,79; W 8 x 15"
"W 200 x 26,6; 26,6; 207; 133; 5,8; 8,4; 190; 170; 34,2; 2611; 252,3; 8,73; 282,3; 330; 49,6; 3,10; 76,3; 3,54; 7,65; 7,92; 29,34; 32.477; 0,92; W 8 x 18"
